location,target,type,quantile,forecast_date,target_end_date,value
01,29 day ahead inc hosp,point,,2020-05-11,2020-06-06,58.2998225279966
01,3 day ahead inc hosp,point,,2020-05-11,2020-05-11,54.7097683608703
01,3 wk ahead cum death,point,,2020-05-11,2020-05-30,736.247
01,30 day ahead inc hosp,point,,2020-05-11,2020-06-07,58.2031372590774
01,31 day ahead inc hosp,point,,2020-05-11,2020-06-08,57.8680099570536
01,32 day ahead inc hosp,point,,2020-05-11,2020-06-09,57.5156178656139
01,33 day ahead inc hosp,point,,2020-05-11,2020-06-10,56.9786871558868
01,34 day ahead inc hosp,point,,2020-05-11,2020-06-11,56.6014592473316
01,35 day ahead inc hosp,point,,2020-05-11,2020-06-12,56.8026418907288
01,36 day ahead inc hosp,point,,2020-05-11,2020-06-13,56.2031462338487
01,37 day ahead inc hosp,point,,2020-05-11,2020-06-14,56.3005199880615
01,38 day ahead inc hosp,point,,2020-05-11,2020-06-15,55.3047393356557
01,39 day ahead inc hosp,point,,2020-05-11,2020-06-16,55.3420271515378
01,4 day ahead inc hosp,point,,2020-05-11,2020-05-12,54.5508508770727
01,4 wk ahead cum death,point,,2020-05-11,2020-06-06,854.474
01,40 day ahead inc hosp,point,,2020-05-11,2020-06-17,54.7791551628196
01,41 day ahead inc hosp,point,,2020-05-11,2020-06-18,53.8484729562405
01,42 day ahead inc hosp,point,,2020-05-11,2020-06-19,53.5454627383023
01,43 day ahead inc hosp,point,,2020-05-11,2020-06-20,53.2210855312386
01,44 day ahead inc hosp,point,,2020-05-11,2020-06-21,52.8810745779075
01,45 day ahead inc hosp,point,,2020-05-11,2020-06-22,52.1150085197912
01,46 day ahead inc hosp,point,,2020-05-11,2020-06-23,51.162709188773
01,47 day ahead inc hosp,point,,2020-05-11,2020-06-24,51.1686385399946
01,48 day ahead inc hosp,point,,2020-05-11,2020-06-25,50.1616903228694
01,49 day ahead inc hosp,point,,2020-05-11,2020-06-26,49.3339519844019
01,5 day ahead inc hosp,point,,2020-05-11,2020-05-13,55.0487099359791
01,5 wk ahead cum death,point,,2020-05-11,2020-06-13,970.884
01,50 day ahead inc hosp,point,,2020-05-11,2020-06-27,48.4777903490644
01,51 day ahead inc hosp,point,,2020-05-11,2020-06-28,48.5505255566845
01,52 day ahead inc hosp,point,,2020-05-11,2020-06-29,46.774272351857
01,53 day ahead inc hosp,point,,2020-05-11,2020-06-30,46.56587579701
01,54 day ahead inc hosp,point,,2020-05-11,2020-07-01,45.2459284361064
01,55 day ahead inc hosp,point,,2020-05-11,2020-07-02,44.4973404173913
01,56 day ahead inc hosp,point,,2020-05-11,2020-07-03,44.2566851676961
01,57 day ahead inc hosp,point,,2020-05-11,2020-07-04,42.3627869809413
01,58 day ahead inc hosp,point,,2020-05-11,2020-07-05,41.3268445378753
01,59 day ahead inc hosp,point,,2020-05-11,2020-07-06,40.8853398421668
01,6 day ahead inc hosp,point,,2020-05-11,2020-05-14,55.2982993848343
01,6 wk ahead cum death,point,,2020-05-11,2020-06-20,1083.194
01,60 day ahead inc hosp,point,,2020-05-11,2020-07-07,39.4619295383323
01,61 day ahead inc hosp,point,,2020-05-11,2020-07-08,39.3006727368693
01,62 day ahead inc hosp,point,,2020-05-11,2020-07-09,37.4715658820196
01,63 day ahead inc hosp,point,,2020-05-11,2020-07-10,36.8479333155149
01,64 day ahead inc hosp,point,,2020-05-11,2020-07-11,35.6078856736401
01,65 day ahead inc hosp,point,,2020-05-11,2020-07-12,38.0276529596221
01,66 day ahead inc hosp,point,,2020-05-11,2020-07-13,34.6891759838201
01,67 day ahead inc hosp,point,,2020-05-11,2020-07-14,32.1656892129113
01,68 day ahead inc hosp,point,,2020-05-11,2020-07-15,31.6924078184887
01,69 day ahead inc hosp,point,,2020-05-11,2020-07-16,30.5249775100716
01,7 day ahead inc hosp,point,,2020-05-11,2020-05-15,56.441816764986
01,7 wk ahead cum death,point,,2020-05-11,2020-06-27,1189.585
01,70 day ahead inc hosp,point,,2020-05-11,2020-07-17,29.8133472253237
01,71 day ahead inc hosp,point,,2020-05-11,2020-07-18,28.8476162275633
01,72 day ahead inc hosp,point,,2020-05-11,2020-07-19,27.7541475743211
01,73 day ahead inc hosp,point,,2020-05-11,2020-07-20,26.9025680566166
01,74 day ahead inc hosp,point,,2020-05-11,2020-07-21,25.9005285815492
01,75 day ahead inc hosp,point,,2020-05-11,2020-07-22,24.6728972899649
01,76 day ahead inc hosp,point,,2020-05-11,2020-07-23,23.9860731650702
01,77 day ahead inc hosp,point,,2020-05-11,2020-07-24,23.6470437519996
01,78 day ahead inc hosp,point,,2020-05-11,2020-07-25,22.3680002730929
01,79 day ahead inc hosp,point,,2020-05-11,2020-07-26,21.7241870474297
01,8 day ahead inc hosp,point,,2020-05-11,2020-05-16,57.5595984509556
01,8 wk ahead cum death,point,,2020-05-11,2020-07-04,1287.557
01,80 day ahead inc hosp,point,,2020-05-11,2020-07-27,20.6618326056297
01,81 day ahead inc hosp,point,,2020-05-11,2020-07-28,0
01,82 day ahead inc hosp,point,,2020-05-11,2020-07-29,0
01,83 day ahead inc hosp,point,,2020-05-11,2020-07-30,0
01,84 day ahead inc hosp,point,,2020-05-11,2020-07-31,0
01,85 day ahead inc hosp,point,,2020-05-11,2020-08-01,0
01,86 day ahead inc hosp,point,,2020-05-11,2020-08-02,0
01,87 day ahead inc hosp,point,,2020-05-11,2020-08-03,0
01,88 day ahead inc hosp,point,,2020-05-11,2020-08-04,0
01,89 day ahead inc hosp,point,,2020-05-11,2020-08-05,0
01,9 day ahead inc hosp,point,,2020-05-11,2020-05-17,59.1822932785223
01,9 wk ahead cum death,point,,2020-05-11,2020-07-11,1374.083
01,90 day ahead inc hosp,point,,2020-05-11,2020-08-06,0
01,91 day ahead inc hosp,point,,2020-05-11,2020-08-07,0
01,92 day ahead inc hosp,point,,2020-05-11,2020-08-08,0
01,93 day ahead inc hosp,point,,2020-05-11,2020-08-09,0
01,94 day ahead inc hosp,point,,2020-05-11,2020-08-10,0
01,95 day ahead inc hosp,point,,2020-05-11,2020-08-11,0
01,96 day ahead inc hosp,point,,2020-05-11,2020-08-12,0
01,97 day ahead inc hosp,point,,2020-05-11,2020-08-13,0
01,98 day ahead inc hosp,point,,2020-05-11,2020-08-14,0
01,99 day ahead inc hosp,point,,2020-05-11,2020-08-15,0
01,1 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-09,30.7868421052632
01,1 wk ahead cum death,quantile,0.025,2020-05-11,2020-05-16,460
01,10 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-18,18.5789473684211
01,10 wk ahead cum death,quantile,0.025,2020-05-11,2020-07-18,560.975
01,100 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-16,0
01,101 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-17,0
01,102 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-18,0
01,103 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-19,0
01,104 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-20,0
01,105 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-21,0
01,11 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-19,16.2631578947368
01,11 wk ahead cum death,quantile,0.025,2020-05-11,2020-07-25,560.975
01,12 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-20,15.05
01,12 wk ahead cum death,quantile,0.025,2020-05-11,2020-08-01,560.975
01,13 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-21,14.7342105263158
01,13 wk ahead cum death,quantile,0.025,2020-05-11,2020-08-08,560.975
01,14 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-22,13.1578947368421
01,14 wk ahead cum death,quantile,0.025,2020-05-11,2020-08-15,560.975
01,15 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-23,11.6289473684211
01,16 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-24,11.8342105263158
01,17 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-25,10.5763157894737
01,18 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-26,9.62894736842105
01,19 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-27,8.89473684210526
01,2 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-10,29.3671052631579
01,2 wk ahead cum death,quantile,0.025,2020-05-11,2020-05-23,502
01,20 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-28,7.78684210526316
01,21 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-29,7.31447368421053
01,22 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-30,7.26052631578947
01,23 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-31,6.52631578947368
01,24 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-01,6.10526315789474
01,25 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-02,5.78947368421053
01,26 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-03,5.14078947368421
01,27 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-04,4.26052631578947
01,28 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-05,4.15789473684211
01,29 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-06,3.31578947368421
01,3 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-11,27.1552631578947
01,3 wk ahead cum death,quantile,0.025,2020-05-11,2020-05-30,530
01,30 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-07,3.52631578947368
01,31 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-08,3.20789473684211
01,32 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-09,3.10263157894737
01,33 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-10,2.78947368421053
01,34 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-11,2.78947368421053
01,35 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-12,2.78947368421053
01,36 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-13,2.68421052631579
01,37 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-14,2.57894736842105
01,38 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-15,2.36578947368421
01,39 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-16,1.79605263157895
01,4 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-12,24.8328947368421
01,4 wk ahead cum death,quantile,0.025,2020-05-11,2020-06-06,546.975
01,40 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-17,0
01,41 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-18,0
01,42 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-19,0
01,43 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-20,0
01,44 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-21,0
01,45 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-22,0
01,46 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-23,0
01,47 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-24,0
01,48 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-25,0
01,49 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-26,0
01,5 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-13,22.7868421052632
01,5 wk ahead cum death,quantile,0.025,2020-05-11,2020-06-13,554
01,50 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-27,0
01,51 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-28,0
01,52 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-29,0
01,53 day ahead inc hosp,quantile,0.025,2020-05-11,2020-06-30,0
01,54 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-01,0
01,55 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-02,0
01,56 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-03,0
01,57 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-04,0
01,58 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-05,0
01,59 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-06,0
01,6 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-14,20.7868421052632
01,6 wk ahead cum death,quantile,0.025,2020-05-11,2020-06-20,560.975
01,60 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-07,0
01,61 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-08,0
01,62 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-09,0
01,63 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-10,0
01,64 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-11,0
01,65 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-12,0
01,66 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-13,0
01,67 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-14,0
01,68 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-15,0
01,69 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-16,0
01,7 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-15,19.2578947368421
01,7 wk ahead cum death,quantile,0.025,2020-05-11,2020-06-27,560.975
01,70 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-17,0
01,71 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-18,0
01,72 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-19,0
01,73 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-20,0
01,74 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-21,0
01,75 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-22,0
01,76 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-23,0
01,77 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-24,0
01,78 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-25,0
01,79 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-26,0
01,8 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-16,19.2526315789474
01,8 wk ahead cum death,quantile,0.025,2020-05-11,2020-07-04,560.975
01,80 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-27,0
01,81 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-28,0
01,82 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-29,0
01,83 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-30,0
01,84 day ahead inc hosp,quantile,0.025,2020-05-11,2020-07-31,0
01,85 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-01,0
01,86 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-02,0
01,87 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-03,0
01,88 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-04,0
01,89 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-05,0
01,9 day ahead inc hosp,quantile,0.025,2020-05-11,2020-05-17,18.9960526315789
01,9 wk ahead cum death,quantile,0.025,2020-05-11,2020-07-11,560.975
01,90 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-06,0
01,91 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-07,0
01,92 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-08,0
01,93 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-09,0
01,94 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-10,0
01,95 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-11,0
01,96 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-12,0
01,97 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-13,0
01,98 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-14,0
01,99 day ahead inc hosp,quantile,0.025,2020-05-11,2020-08-15,0
01,1 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-09,106.005
01,1 wk ahead cum death,quantile,0.975,2020-05-11,2020-05-16,594.025
01,10 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-18,150
01,10 wk ahead cum death,quantile,0.975,2020-05-11,2020-07-18,4786.2
01,100 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-16,0
01,101 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-17,0
01,102 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-18,0
01,103 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-19,0
01,104 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-20,0
01,105 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-21,0
01,11 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-19,153.125
01,11 wk ahead cum death,quantile,0.975,2020-05-11,2020-07-25,5146.025
01,12 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-20,162.025
01,12 wk ahead cum death,quantile,0.975,2020-05-11,2020-08-01,5490.05
01,13 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-21,168.35
01,13 wk ahead cum death,quantile,0.975,2020-05-11,2020-08-08,5490.05
01,14 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-22,173
01,14 wk ahead cum death,quantile,0.975,2020-05-11,2020-08-15,5490.05
01,15 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-23,167.05
01,16 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-24,181
01,17 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-25,191.025
01,18 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-26,188
01,19 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-27,192.025
01,2 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-10,103
01,2 wk ahead cum death,quantile,0.975,2020-05-11,2020-05-23,831.025
01,20 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-28,202.025
01,21 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-29,200.075
01,22 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-30,205.05
01,23 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-31,222.025
01,24 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-01,223.125
01,25 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-02,229.025
01,26 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-03,235
01,27 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-04,236.025
01,28 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-05,242.05
01,29 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-06,239
01,3 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-11,111.025
01,3 wk ahead cum death,quantile,0.975,2020-05-11,2020-05-30,1154
01,30 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-07,252
01,31 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-08,252
01,32 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-09,262.05
01,33 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-10,262.025
01,34 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-11,260
01,35 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-12,269.1
01,36 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-13,270.075
01,37 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-14,281.05
01,38 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-15,276.05
01,39 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-16,291.075
01,4 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-12,112
01,4 wk ahead cum death,quantile,0.975,2020-05-11,2020-06-06,1565.025
01,40 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-17,281.025
01,41 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-18,278.075
01,42 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-19,285.125
01,43 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-20,290
01,44 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-21,291.05
01,45 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-22,295
01,46 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-23,289.075
01,47 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-24,292.075
01,48 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-25,296.025
01,49 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-26,290.05
01,5 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-13,123
01,5 wk ahead cum death,quantile,0.975,2020-05-11,2020-06-13,2048.1
01,50 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-27,287.075
01,51 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-28,284.125
01,52 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-29,272.025
01,53 day ahead inc hosp,quantile,0.975,2020-05-11,2020-06-30,279.1
01,54 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-01,279.1
01,55 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-02,273.1
01,56 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-03,258.125
01,57 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-04,261.325
01,58 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-05,245.325
01,59 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-06,253.175
01,6 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-14,124
01,6 wk ahead cum death,quantile,0.975,2020-05-11,2020-06-20,2574.2
01,60 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-07,259.05
01,61 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-08,258
01,62 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-09,236.05
01,63 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-10,237.025
01,64 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-11,224.05
01,65 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-12,231.025
01,66 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-13,216.025
01,67 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-14,206.025
01,68 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-15,212.075
01,69 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-16,213.025
01,7 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-15,130
01,7 wk ahead cum death,quantile,0.975,2020-05-11,2020-06-27,3167.1
01,70 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-17,200.05
01,71 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-18,193.05
01,72 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-19,187
01,73 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-20,186.05
01,74 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-21,165.025
01,75 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-22,168.025
01,76 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-23,155.025
01,77 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-24,156.025
01,78 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-25,152.025
01,79 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-26,150
01,8 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-16,137.075
01,8 wk ahead cum death,quantile,0.975,2020-05-11,2020-07-04,3777.175
01,80 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-27,132.1375
01,81 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-28,0
01,82 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-29,0
01,83 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-30,0
01,84 day ahead inc hosp,quantile,0.975,2020-05-11,2020-07-31,0
01,85 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-01,0
01,86 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-02,0
01,87 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-03,0
01,88 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-04,0
01,89 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-05,0
01,9 day ahead inc hosp,quantile,0.975,2020-05-11,2020-05-17,148.025
01,9 wk ahead cum death,quantile,0.975,2020-05-11,2020-07-11,4340.275
01,90 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-06,0
01,91 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-07,0
01,92 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-08,0
01,93 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-09,0
01,94 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-10,0
01,95 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-11,0
01,96 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-12,0
01,97 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-13,0
01,98 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-14,0
01,99 day ahead inc hosp,quantile,0.975,2020-05-11,2020-08-15,0
10,1 day ahead inc hosp,point,,2020-05-11,2020-05-09,27.5507340385277
10,1 wk ahead cum death,point,,2020-05-11,2020-05-16,269.337
